userId,movieId,rating,movieTitle
1,1371,2.5,Rocky III
1,1405,1.0,Greed
1,2105,4.0,American Pie
1,2193,2.0,My Tutor
1,2294,2.0,Jay and Silent Bob Strike Back
1,2455,2.5,Vivement dimanche!
2,17,5.0,The Dark
2,62,3.0,2001: A Space Odyssey
2,110,4.0,Trois couleurs : Rouge
2,144,3.0,Der Himmel über Berlin
2,150,5.0,48 Hrs.
2,153,4.0,Lost in Translation
2,161,3.0,Ocean's Eleven
2,165,3.0,Back to the Future Part II
2,168,3.0,Star Trek IV: The Voyage Home
2,185,3.0,A Clockwork Orange
2,186,3.0,Lucky Number Slevin
2,222,5.0,Berlin: Die Sinfonie der Grosstadt
2,223,1.0,Rebecca
2,225,3.0,Czlowiek z zelaza
2,235,3.0,Stand by Me
2,248,3.0,Pocketful of Miracles
2,253,4.0,Live and Let Die
2,261,4.0,Cat on a Hot Tin Roof
2,265,5.0,Lili Marleen
2,266,5.0,Le Mépris
2,272,3.0,Batman Begins
2,273,4.0,Das weisse Rauschen
2,292,3.0,Dave Chappelle's Block Party
2,296,4.0,Terminator 3: Rise of the Machines
2,300,3.0,La science des rêves
2,314,4.0,Catwoman
2,317,2.0,Grbavica
2,319,1.0,True Romance
2,339,3.0,Night on Earth
2,349,4.0,Crustacés et coquillages
2,350,4.0,The Devil Wears Prada
2,364,3.0,Batman Returns
2,377,3.0,A Nightmare on Elm Street
2,405,2.0,La strada
2,410,3.0,Sommer vorm Balkon
2,454,4.0,Romeo + Juliet
2,457,3.0,Sissi
2,468,4.0,My Own Private Idaho
2,480,4.0,Monsoon Wedding
2,497,3.0,The Green Mile
2,500,4.0,Reservoir Dogs
2,508,4.0,Love Actually
2,509,4.0,Notting Hill
2,527,4.0,Once Were Warriors
2,537,4.0,Je ne suis pas là pour être aimé
2,539,3.0,Psycho
2,550,3.0,Fight Club
2,551,5.0,The Poseidon Adventure
2,552,3.0,Pane e Tulipani
2,585,5.0,"Monsters, Inc."
2,586,3.0,Wag the Dog
2,587,3.0,Big Fish
2,588,3.0,Silent Hill
2,590,5.0,The Hours
2,592,5.0,The Conversation
2,593,3.0,Солярис
2,616,3.0,The Last Samurai
